feature,mean_shap,rank
EXT_SOURCE_MEAN,0.312791,1
EXT_SOURCE_MIN,0.213696,2
AMT_REQ_CREDIT_BUREAU_YEAR,0.179157,3
FLAG_OWN_CAR,0.147357,4
CREDIT_TO_ANNUITY,0.142869,5
AGE_GROUP,0.142677,6
NAME_EDUCATION_TYPE,0.111905,7
FLAG_PHONE,0.093452,8
CODE_GENDER,0.091627,9
OBS_30_CNT_SOCIAL_CIRCLE,0.086863,10
EXT_SOURCE_MAX,0.086585,11
ORGANIZATION_TYPE,0.085955,12
CREDIT_TO_GOODS,0.085217,13
FLAG_EMP_PHONE,0.081995,14
AMT_GOODS_PRICE,0.079498,15
